"Year","Site","Treatment","Block","Plot","Species","Rel.cover","Accepted Latin Name or category"
2019,06MAT,F2,3,1,And pol,4.0,Andromeda polifolia
2019,06MAT,F2,3,2,And pol,3.1,Andromeda polifolia
2019,06MAT,F2,3,3,And pol,2.1,Andromeda polifolia
2019,06MAT,F5,3,3,And pol,1.3,Andromeda polifolia
2019,06MAT,F5,3,5,And pol,0.7,Andromeda polifolia
2019,06MAT,F5,3,6,And pol,1.4,Andromeda polifolia
2008,06MAT,CT,1,3,Arc alp,3.5,Arctostaphylos alpina
2008,06MAT,CT,1,4,Arc alp,4.1,Arctostaphylos alpina
2008,06MAT,F2,1,1,Arc alp,10.3,Arctostaphylos alpina
2008,06MAT,F2,1,2,Arc alp,0.9,Arctostaphylos alpina
2008,06MAT,F5,1,1,Arc alp,8.9,Arctostaphylos alpina
2008,06MAT,F5,1,2,Arc alp,1.0,Arctostaphylos alpina
2008,06MAT,F10,1,1,Arc alp,6.0,Arctostaphylos alpina
2008,06MAT,F10,1,2,Arc alp,2.0,Arctostaphylos alpina
2008,06MAT,CT,2,3,Arc alp,3.7,Arctostaphylos alpina
2008,06MAT,CT,2,4,Arc alp,14.5,Arctostaphylos alpina
2008,06MAT,F2,3,2,Arc alp,10.9,Arctostaphylos alpina
2008,06MAT,F2,3,3,Arc alp,5.9,Arctostaphylos alpina
2008,06MAT,F2,3,4,Arc alp,1.0,Arctostaphylos alpina
2010,06MAT,CT,1,1,Arc alp,2.7,Arctostaphylos alpina
2010,06MAT,CT,1,2,Arc alp,4.9,Arctostaphylos alpina
2010,06MAT,CT,1,3,Arc alp,1.7,Arctostaphylos alpina
2010,06MAT,F5,1,1,Arc alp,7.7,Arctostaphylos alpina
2010,06MAT,F10,1,8,Arc alp,0.5,Arctostaphylos alpina
2010,06MAT,CT,2,1,Arc alp,0.9,Arctostaphylos alpina
2010,06MAT,CT,2,2,Arc alp,2.4,Arctostaphylos alpina
2010,06MAT,CT,2,3,Arc alp,9.0,Arctostaphylos alpina
2010,06MAT,CT,2,6,Arc alp,3.2,Arctostaphylos alpina
2010,06MAT,F5,2,2,Arc alp,2.4,Arctostaphylos alpina
2010,06MAT,F5,2,3,Arc alp,15.1,Arctostaphylos alpina
2010,06MAT,F5,2,4,Arc alp,9.0,Arctostaphylos alpina
2010,06MAT,F5,2,5,Arc alp,3.9,Arctostaphylos alpina
2010,06MAT,F5,2,6,Arc alp,13.8,Arctostaphylos alpina
2010,06MAT,F5,2,7,Arc alp,7.0,Arctostaphylos alpina
2010,06MAT,F5,2,8,Arc alp,6.1,Arctostaphylos alpina
2011,06MAT,CT,1,1,Arc alp,1.4,Arctostaphylos alpina
2011,06MAT,CT,1,2,Arc alp,2.7,Arctostaphylos alpina
2011,06MAT,CT,1,3,Arc alp,1.4,Arctostaphylos alpina
2011,06MAT,F5,1,1,Arc alp,4.4,Arctostaphylos alpina
2011,06MAT,CT,2,2,Arc alp,3.0,Arctostaphylos alpina
2011,06MAT,CT,2,3,Arc alp,8.4,Arctostaphylos alpina
2011,06MAT,CT,2,6,Arc alp,1.6,Arctostaphylos alpina
2011,06MAT,F5,2,7,Arc alp,15.6,Arctostaphylos alpina
2011,06MAT,F5,2,8,Arc alp,5.0,Arctostaphylos alpina
2012,06MAT,CT,1,1,Arc alp,3.7,Arctostaphylos alpina
2012,06MAT,CT,1,2,Arc alp,7.2,Arctostaphylos alpina
2012,06MAT,CT,1,3,Arc alp,0.9,Arctostaphylos alpina
2012,06MAT,F2,1,1,Arc alp,0.8,Arctostaphylos alpina
2012,06MAT,F2,1,2,Arc alp,5.3,Arctostaphylos alpina
2012,06MAT,F2,1,3,Arc alp,3.2,Arctostaphylos alpina
2012,06MAT,F2,1,5,Arc alp,7.7,Arctostaphylos alpina
2012,06MAT,F2,1,6,Arc alp,2.6,Arctostaphylos alpina
2012,06MAT,F2,1,7,Arc alp,6.1,Arctostaphylos alpina
2012,06MAT,F2,1,8,Arc alp,1.7,Arctostaphylos alpina
2012,06MAT,F5,1,1,Arc alp,6.9,Arctostaphylos alpina
2012,06MAT,CT,2,2,Arc alp,6.9,Arctostaphylos alpina
2012,06MAT,CT,2,3,Arc alp,17.3,Arctostaphylos alpina
2012,06MAT,CT,2,6,Arc alp,3.5,Arctostaphylos alpina
2012,06MAT,F2,2,5,Arc alp,0.7,Arctostaphylos alpina
2012,06MAT,F2,2,6,Arc alp,3.6,Arctostaphylos alpina
2012,06MAT,F2,2,7,Arc alp,1.2,Arctostaphylos alpina
2012,06MAT,F2,2,8,Arc alp,2.5,Arctostaphylos alpina
2012,06MAT,F5,2,3,Arc alp,13.3,Arctostaphylos alpina
2012,06MAT,F5,2,4,Arc alp,13.7,Arctostaphylos alpina
2012,06MAT,F5,2,5,Arc alp,2.8,Arctostaphylos alpina
2012,06MAT,F5,2,6,Arc alp,6.6,Arctostaphylos alpina
2012,06MAT,F5,2,7,Arc alp,8.3,Arctostaphylos alpina
2012,06MAT,F5,2,8,Arc alp,4.3,Arctostaphylos alpina
2013,06MAT,CT,1,1,Arc alp,0.8,Arctostaphylos alpina
2013,06MAT,CT,1,2,Arc alp,2.9,Arctostaphylos alpina
2013,06MAT,CT,1,3,Arc alp,1.4,Arctostaphylos alpina
2013,06MAT,F2,1,1,Arc alp,5.0,Arctostaphylos alpina
2013,06MAT,F2,1,2,Arc alp,14.3,Arctostaphylos alpina
2013,06MAT,F2,1,3,Arc alp,2.7,Arctostaphylos alpina
2013,06MAT,F2,1,5,Arc alp,8.5,Arctostaphylos alpina
2013,06MAT,F2,1,6,Arc alp,3.1,Arctostaphylos alpina
2013,06MAT,F2,1,7,Arc alp,15.2,Arctostaphylos alpina
2013,06MAT,F2,1,8,Arc alp,5.9,Arctostaphylos alpina
2013,06MAT,F5,1,1,Arc alp,72.1,Arctostaphylos alpina
2013,06MAT,F5,1,2,Arc alp,24.0,Arctostaphylos alpina
2013,06MAT,CT,2,2,Arc alp,4.0,Arctostaphylos alpina
2013,06MAT,CT,2,3,Arc alp,15.4,Arctostaphylos alpina
2013,06MAT,CT,2,6,Arc alp,3.9,Arctostaphylos alpina
2013,06MAT,F2,2,5,Arc alp,0.5,Arctostaphylos alpina
2013,06MAT,F2,2,6,Arc alp,8.1,Arctostaphylos alpina
2013,06MAT,F2,2,7,Arc alp,2.6,Arctostaphylos alpina
2013,06MAT,F2,2,8,Arc alp,3.5,Arctostaphylos alpina
2013,06MAT,F5,2,3,Arc alp,12.1,Arctostaphylos alpina
2013,06MAT,F5,2,4,Arc alp,15.7,Arctostaphylos alpina
2013,06MAT,F5,2,5,Arc alp,5.1,Arctostaphylos alpina
2013,06MAT,F5,2,6,Arc alp,6.5,Arctostaphylos alpina
2013,06MAT,F5,2,7,Arc alp,6.3,Arctostaphylos alpina
2013,06MAT,F5,2,8,Arc alp,2.9,Arctostaphylos alpina
2014,06MAT,CT,1,1,Arc alp,2.0,Arctostaphylos alpina
2014,06MAT,CT,1,2,Arc alp,4.7,Arctostaphylos alpina
2014,06MAT,CT,1,3,Arc alp,2.9,Arctostaphylos alpina
2014,06MAT,CT,1,5,Arc alp,6.5,Arctostaphylos alpina
2014,06MAT,F2,1,1,Arc alp,7.3,Arctostaphylos alpina
2014,06MAT,F2,1,2,Arc alp,10.2,Arctostaphylos alpina
2014,06MAT,F2,1,3,Arc alp,1.0,Arctostaphylos alpina
2014,06MAT,F2,1,5,Arc alp,8.2,Arctostaphylos alpina
2014,06MAT,F2,1,6,Arc alp,1.1,Arctostaphylos alpina
2014,06MAT,F2,1,7,Arc alp,11.2,Arctostaphylos alpina
2014,06MAT,F5,1,1,Arc alp,3.9,Arctostaphylos alpina
2014,06MAT,CT,2,2,Arc alp,4.2,Arctostaphylos alpina
2014,06MAT,CT,2,3,Arc alp,19.1,Arctostaphylos alpina
2014,06MAT,CT,2,6,Arc alp,4.1,Arctostaphylos alpina
2014,06MAT,F2,2,5,Arc alp,2.0,Arctostaphylos alpina
2014,06MAT,F2,2,6,Arc alp,1.0,Arctostaphylos alpina
2014,06MAT,F2,2,7,Arc alp,2.2,Arctostaphylos alpina
2014,06MAT,F2,2,8,Arc alp,6.0,Arctostaphylos alpina
2014,06MAT,F5,2,4,Arc alp,1.0,Arctostaphylos alpina
2014,06MAT,F5,2,6,Arc alp,3.2,Arctostaphylos alpina
2014,06MAT,F5,2,7,Arc alp,2.0,Arctostaphylos alpina
2014,06MAT,F5,2,8,Arc alp,2.1,Arctostaphylos alpina
2015,06MAT,CT,1,2,Arc alp,2.7,Arctostaphylos alpina
2015,06MAT,F2,1,2,Arc alp,2.7,Arctostaphylos alpina
2015,06MAT,F2,1,3,Arc alp,1.4,Arctostaphylos alpina
2015,06MAT,F2,1,4,Arc alp,4.1,Arctostaphylos alpina
2015,06MAT,CT,2,2,Arc alp,1.4,Arctostaphylos alpina
2015,06MAT,CT,2,4,Arc alp,1.6,Arctostaphylos alpina
2015,06MAT,F5,2,2,Arc alp,0.8,Arctostaphylos alpina
2015,06MAT,F10,2,1,Arc alp,0.8,Arctostaphylos alpina
2015,06MAT,F2,3,5,Arc alp,24.3,Arctostaphylos alpina
2016,06MAT,CT,1,4,Arc alp,7.8,Arctostaphylos alpina
2016,06MAT,CT,1,5,Arc alp,8.0,Arctostaphylos alpina
2016,06MAT,F2,1,8,Arc alp,5.9,Arctostaphylos alpina
2016,06MAT,CT,2,8,Arc alp,2.1,Arctostaphylos alpina
2016,06MAT,F2,2,1,Arc alp,5.5,Arctostaphylos alpina
2016,06MAT,F2,2,6,Arc alp,5.1,Arctostaphylos alpina
2016,06MAT,F5,2,3,Arc alp,1.1,Arctostaphylos alpina
2016,06MAT,F5,2,8,Arc alp,2.1,Arctostaphylos alpina
2017,06MAT,CT,1,1,Arc alp,6.1,Arctostaphylos alpina
2017,06MAT,CT,1,2,Arc alp,3.4,Arctostaphylos alpina
2017,06MAT,F5,1,4,Arc alp,3.2,Arctostaphylos alpina
2017,06MAT,CT,2,1,Arc alp,0.5,Arctostaphylos alpina
2017,06MAT,CT,2,2,Arc alp,5.4,Arctostaphylos alpina
2017,06MAT,CT,2,3,Arc alp,12.8,Arctostaphylos alpina
2017,06MAT,CT,2,5,Arc alp,1.0,Arctostaphylos alpina
2017,06MAT,CT,2,6,Arc alp,1.3,Arctostaphylos alpina
2017,06MAT,F2,3,3,Arc alp,31.1,Arctostaphylos alpina
2018,06MAT,CT,1,1,Arc alp,3.1,Arctostaphylos alpina
2018,06MAT,F2,1,5,Arc alp,9.8,Arctostaphylos alpina
2018,06MAT,F2,1,6,Arc alp,6.7,Arctostaphylos alpina
2018,06MAT,F2,1,7,Arc alp,2.6,Arctostaphylos alpina
2018,06MAT,F2,1,8,Arc alp,2.0,Arctostaphylos alpina
2018,06MAT,F5,1,4,Arc alp,2.0,Arctostaphylos alpina
2018,06MAT,F5,1,6,Arc alp,0.9,Arctostaphylos alpina
2018,06MAT,CT,2,1,Arc alp,0.8,Arctostaphylos alpina
2018,06MAT,CT,2,2,Arc alp,6.7,Arctostaphylos alpina
2018,06MAT,CT,2,3,Arc alp,9.7,Arctostaphylos alpina
2018,06MAT,CT,2,6,Arc alp,3.6,Arctostaphylos alpina
2018,06MAT,F2,3,3,Arc alp,13.5,Arctostaphylos alpina
2018,06MAT,F2,3,4,Arc alp,2.9,Arctostaphylos alpina
2019,06MAT,F2,1,5,Arc alp,5.8,Arctostaphylos alpina
2019,06MAT,F2,1,6,Arc alp,1.8,Arctostaphylos alpina
2019,06MAT,F5,1,4,Arc alp,2.1,Arctostaphylos alpina
2019,06MAT,F5,1,5,Arc alp,0.7,Arctostaphylos alpina
2019,06MAT,CT,2,2,Arc alp,0.7,Arctostaphylos alpina
2019,06MAT,CT,2,3,Arc alp,19.7,Arctostaphylos alpina
2019,06MAT,CT,2,6,Arc alp,3.1,Arctostaphylos alpina
2019,06MAT,F2,3,1,Arc alp,0.7,Arctostaphylos alpina
2019,06MAT,F2,3,2,Arc alp,1.0,Arctostaphylos alpina
2019,06MAT,F2,3,3,Arc alp,13.3,Arctostaphylos alpina
2020,06MAT,CT,1,1,Arc alp,2.4,Arctostaphylos alpina
2020,06MAT,CT,1,2,Arc alp,3.9,Arctostaphylos alpina
2020,06MAT,F2,1,5,Arc alp,7.5,Arctostaphylos alpina
2020,06MAT,CT,2,2,Arc alp,6.7,Arctostaphylos alpina
2020,06MAT,CT,2,3,Arc alp,16.8,Arctostaphylos alpina
2020,06MAT,F2,3,3,Arc alp,16.4,Arctostaphylos alpina
2020,06MAT,F2,3,4,Arc alp,1.1,Arctostaphylos alpina
2008,06MAT,F2,1,1,Arc lat,5.2,Arctagrostis latifolia
2008,06MAT,F2,1,2,Arc lat,10.6,Arctagrostis latifolia
2008,06MAT,F10,1,1,Arc lat,7.0,Arctagrostis latifolia
2008,06MAT,F10,1,2,Arc lat,2.9,Arctagrostis latifolia
2008,06MAT,F10,1,4,Arc lat,2.0,Arctagrostis latifolia
2008,06MAT,F5,2,1,Arc lat,2.1,Arctagrostis latifolia
2008,06MAT,F5,2,2,Arc lat,1.3,Arctagrostis latifolia
2008,06MAT,F5,2,4,Arc lat,1.0,Arctagrostis latifolia
2008,06MAT,F10,2,1,Arc lat,16.1,Arctagrostis latifolia
2008,06MAT,F10,2,3,Arc lat,1.7,Arctagrostis latifolia
2008,06MAT,F10,2,4,Arc lat,19.8,Arctagrostis latifolia
2008,06MAT,CT,3,2,Arc lat,0.5,Arctagrostis latifolia
2008,06MAT,F2,3,1,Arc lat,0.9,Arctagrostis latifolia
2008,06MAT,F2,3,2,Arc lat,0.9,Arctagrostis latifolia
2008,06MAT,F2,3,3,Arc lat,1.0,Arctagrostis latifolia
2008,06MAT,F2,3,4,Arc lat,1.0,Arctagrostis latifolia
2008,06MAT,F5,3,2,Arc lat,1.9,Arctagrostis latifolia
2008,06MAT,F5,3,4,Arc lat,1.8,Arctagrostis latifolia
2008,06MAT,F10,3,1,Arc lat,3.8,Arctagrostis latifolia
2008,06MAT,F10,3,2,Arc lat,2.0,Arctagrostis latifolia
2008,06MAT,F10,3,3,Arc lat,1.9,Arctagrostis latifolia
2008,06MAT,F10,3,4,Arc lat,1.0,Arctagrostis latifolia
2010,06MAT,F5,3,7,Arc lat,0.4,Arctagrostis latifolia
2012,06MAT,F5,1,5,Arc lat,0.9,Arctagrostis latifolia
2010,06MAT,CT,3,5,Arnica sp.,0.5,Arnica species
2010,06MAT,CT,3,8,Arnica sp.,0.5,Arnica species
2010,06MAT,F10,3,3,Arnica sp.,0.5,Arnica species
2008,06MAT,CT,1,1,bare,3.8,Bare soil
2008,06MAT,CT,1,2,bare,2.9,Bare soil
2008,06MAT,F2,1,1,bare,2.6,Bare soil
2008,06MAT,F2,1,2,bare,3.5,Bare soil
2008,06MAT,F2,1,3,bare,1.8,Bare soil
2008,06MAT,F2,1,4,bare,7.1,Bare soil
2008,06MAT,F5,1,2,bare,4.9,Bare soil
2008,06MAT,F5,1,3,bare,3.2,Bare soil
2008,06MAT,F5,1,4,bare,1.1,Bare soil
2008,06MAT,F10,1,1,bare,3.0,Bare soil
2008,06MAT,F10,1,2,bare,3.9,Bare soil
2008,06MAT,F10,1,3,bare,3.9,Bare soil
2008,06MAT,F10,1,4,bare,2.9,Bare soil
2008,06MAT,CT,2,1,bare,2.9,Bare soil
2008,06MAT,F5,2,1,bare,5.1,Bare soil
2008,06MAT,F5,2,3,bare,1.2,Bare soil
2008,06MAT,F5,2,4,bare,1.0,Bare soil
2008,06MAT,F10,2,1,bare,1.1,Bare soil
2008,06MAT,F10,2,3,bare,0.9,Bare soil
2008,06MAT,CT,3,1,bare,10.4,Bare soil
2008,06MAT,CT,3,2,bare,16.1,Bare soil
2008,06MAT,CT,3,3,bare,3.7,Bare soil
2008,06MAT,CT,3,4,bare,8.8,Bare soil
2008,06MAT,F2,3,2,bare,2.7,Bare soil
2008,06MAT,F2,3,3,bare,3.9,Bare soil
2008,06MAT,F2,3,4,bare,1.9,Bare soil
2008,06MAT,F5,3,1,bare,4.0,Bare soil
2008,06MAT,F5,3,2,bare,1.0,Bare soil
2008,06MAT,F5,3,3,bare,10.0,Bare soil
2008,06MAT,F5,3,4,bare,2.8,Bare soil
2008,06MAT,F10,3,1,bare,2.9,Bare soil
2008,06MAT,F10,3,3,bare,0.9,Bare soil
2008,06MAT,F10,3,4,bare,1.9,Bare soil
2010,06MAT,CT,1,4,bare,0.9,Bare soil
2010,06MAT,CT,1,5,bare,0.8,Bare soil
2010,06MAT,F5,1,4,bare,1.1,Bare soil
2010,06MAT,F5,1,6,bare,3.7,Bare soil
2010,06MAT,F5,1,7,bare,2.1,Bare soil
2010,06MAT,F5,1,8,bare,3.7,Bare soil
2010,06MAT,F10,1,2,bare,3.8,Bare soil
2010,06MAT,CT,2,1,bare,0.5,Bare soil
2010,06MAT,CT,2,7,bare,1.9,Bare soil
2010,06MAT,F5,2,1,bare,1.2,Bare soil
2010,06MAT,F5,2,5,bare,1.3,Bare soil
2010,06MAT,F5,2,6,bare,1.1,Bare soil
2010,06MAT,F5,2,7,bare,1.4,Bare soil
2010,06MAT,F5,2,8,bare,1.0,Bare soil
2010,06MAT,F10,2,1,bare,0.8,Bare soil
2010,06MAT,F10,2,3,bare,1.0,Bare soil
2010,06MAT,CT,3,4,bare,1.1,Bare soil
2010,06MAT,F5,3,3,bare,0.5,Bare soil
2010,06MAT,F5,3,5,bare,0.6,Bare soil
2010,06MAT,F10,3,5,bare,1.8,Bare soil
2011,06MAT,F5,1,5,bare,5.3,Bare soil
2011,06MAT,F5,1,6,bare,1.8,Bare soil
2011,06MAT,F5,1,7,bare,5.9,Bare soil
2011,06MAT,F5,1,8,bare,7.8,Bare soil
2011,06MAT,F10,1,2,bare,7.1,Bare soil
2011,06MAT,F10,1,5,bare,3.1,Bare soil
2011,06MAT,CT,2,2,bare,8.9,Bare soil
2011,06MAT,CT,2,3,bare,11.2,Bare soil
2011,06MAT,CT,2,4,bare,3.4,Bare soil
2011,06MAT,CT,2,5,bare,1.5,Bare soil
2011,06MAT,CT,2,6,bare,1.6,Bare soil
2011,06MAT,CT,2,7,bare,2.8,Bare soil
2011,06MAT,F5,2,3,bare,8.3,Bare soil
2011,06MAT,F5,2,5,bare,2.7,Bare soil
2011,06MAT,CT,3,2,bare,13.0,Bare soil
2011,06MAT,CT,3,3,bare,5.1,Bare soil
2011,06MAT,CT,3,4,bare,12.5,Bare soil
2011,06MAT,CT,3,5,bare,18.0,Bare soil
2011,06MAT,CT,3,6,bare,1.8,Bare soil
2011,06MAT,CT,3,7,bare,3.1,Bare soil
2011,06MAT,F5,3,2,bare,4.5,Bare soil
2011,06MAT,F5,3,3,bare,2.5,Bare soil
2011,06MAT,F5,3,5,bare,3.2,Bare soil
2011,06MAT,F10,3,4,bare,2.3,Bare soil
2012,06MAT,CT,1,1,bare,0.9,Bare soil
2012,06MAT,CT,1,4,bare,0.7,Bare soil
2012,06MAT,F2,1,1,bare,0.8,Bare soil
2012,06MAT,F2,1,5,bare,3.9,Bare soil
2012,06MAT,F5,1,1,bare,0.9,Bare soil
2012,06MAT,F5,1,4,bare,0.8,Bare soil
2012,06MAT,F5,1,5,bare,0.9,Bare soil
2012,06MAT,F5,1,6,bare,0.8,Bare soil
2012,06MAT,F5,1,7,bare,1.7,Bare soil
2012,06MAT,F5,1,8,bare,3.9,Bare soil
2012,06MAT,F10,1,1,bare,1.9,Bare soil
2012,06MAT,F10,1,2,bare,3.1,Bare soil
2012,06MAT,F10,1,3,bare,1.9,Bare soil
2012,06MAT,F10,1,5,bare,2.9,Bare soil
2012,06MAT,F10,1,8,bare,3.2,Bare soil
2012,06MAT,CT,2,2,bare,4.1,Bare soil
2012,06MAT,CT,2,3,bare,2.9,Bare soil
2012,06MAT,CT,2,4,bare,5.8,Bare soil
2012,06MAT,CT,2,7,bare,1.4,Bare soil
2012,06MAT,F2,2,3,bare,1.3,Bare soil
2012,06MAT,F5,2,1,bare,1.5,Bare soil
2012,06MAT,F5,2,5,bare,0.7,Bare soil
2012,06MAT,F10,2,1,bare,1.1,Bare soil
2012,06MAT,F10,2,2,bare,4.0,Bare soil
2012,06MAT,F10,2,3,bare,3.7,Bare soil
2012,06MAT,F10,2,4,bare,4.3,Bare soil
2012,06MAT,F10,2,5,bare,0.7,Bare soil
2012,06MAT,F10,2,6,bare,0.8,Bare soil
2012,06MAT,F10,2,7,bare,3.0,Bare soil
2012,06MAT,CT,3,1,bare,2.2,Bare soil
2012,06MAT,CT,3,2,bare,1.3,Bare soil
2012,06MAT,CT,3,3,bare,4.2,Bare soil
2012,06MAT,CT,3,5,bare,1.8,Bare soil
2012,06MAT,CT,3,7,bare,1.7,Bare soil
2012,06MAT,F5,3,1,bare,0.8,Bare soil
2012,06MAT,F10,3,1,bare,2.0,Bare soil
2012,06MAT,F10,3,2,bare,3.1,Bare soil
2012,06MAT,F10,3,5,bare,4.2,Bare soil
2012,06MAT,F10,3,6,bare,0.9,Bare soil
2012,06MAT,F10,3,7,bare,0.9,Bare soil
2012,06MAT,F10,3,8,bare,4.1,Bare soil
2013,06MAT,F2,1,1,bare,1.2,Bare soil
2013,06MAT,F2,1,3,bare,2.7,Bare soil
2013,06MAT,F2,1,4,bare,1.3,Bare soil
2013,06MAT,F2,1,5,bare,1.4,Bare soil
2013,06MAT,F5,1,6,bare,1.1,Bare soil
2013,06MAT,F5,1,7,bare,2.7,Bare soil
2013,06MAT,F10,1,1,bare,1.5,Bare soil
2013,06MAT,F10,1,4,bare,1.4,Bare soil
2013,06MAT,F10,1,7,bare,1.2,Bare soil
2013,06MAT,CT,2,3,bare,5.1,Bare soil
2013,06MAT,CT,2,4,bare,2.3,Bare soil
2013,06MAT,F2,2,3,bare,7.3,Bare soil
2013,06MAT,CT,3,1,bare,4.0,Bare soil
2013,06MAT,CT,3,4,bare,2.0,Bare soil
2013,06MAT,F10,3,6,bare,0.7,Bare soil
2014,06MAT,F2,1,1,bare,1.0,Bare soil
2014,06MAT,F2,1,3,bare,1.0,Bare soil
2014,06MAT,F2,1,4,bare,4.0,Bare soil
2014,06MAT,F2,1,5,bare,0.5,Bare soil
2014,06MAT,F5,1,1,bare,0.5,Bare soil
2014,06MAT,F5,1,4,bare,1.0,Bare soil
2014,06MAT,F5,1,7,bare,2.3,Bare soil
2014,06MAT,F5,1,8,bare,1.0,Bare soil
2014,06MAT,F10,1,1,bare,2.2,Bare soil
2014,06MAT,F10,1,2,bare,0.5,Bare soil
2014,06MAT,F10,1,3,bare,3.4,Bare soil
2014,06MAT,CT,2,3,bare,2.9,Bare soil
2014,06MAT,CT,2,4,bare,4.2,Bare soil
2014,06MAT,CT,2,7,bare,2.1,Bare soil
2014,06MAT,CT,2,8,bare,0.5,Bare soil
2014,06MAT,F2,2,1,bare,0.6,Bare soil
2014,06MAT,F2,2,3,bare,2.2,Bare soil
2014,06MAT,F2,3,1,bare,2.2,Bare soil
2014,06MAT,F10,3,1,bare,1.1,Bare soil
2014,06MAT,F10,3,3,bare,1.1,Bare soil
2014,06MAT,F10,3,6,bare,1.0,Bare soil
2015,06MAT,CT,1,2,bare,9.4,Bare soil
2015,06MAT,CT,2,3,bare,9.3,Bare soil
2015,06MAT,F10,2,2,bare,0.7,Bare soil
2015,06MAT,CT,3,1,bare,0.8,Bare soil
2015,06MAT,CT,3,3,bare,6.6,Bare soil
2015,06MAT,CT,3,5,bare,6.3,Bare soil
2015,06MAT,F2,3,4,bare,6.6,Bare soil
2016,06MAT,F10,3,5,bare,1.7,Bare soil
2017,06MAT,CT,2,2,bare,0.7,Bare soil
2017,06MAT,CT,2,6,bare,0.6,Bare soil
2017,06MAT,CT,2,7,bare,1.8,Bare soil
2017,06MAT,CT,2,8,bare,1.7,Bare soil
2017,06MAT,F2,2,8,bare,1.4,Bare soil
2017,06MAT,F5,2,2,bare,0.9,Bare soil
2017,06MAT,F5,2,8,bare,0.6,Bare soil
2017,06MAT,CT,3,1,bare,3.4,Bare soil
2017,06MAT,CT,3,3,bare,2.1,Bare soil
2018,06MAT,F5,1,3,bare,0.9,Bare soil
2019,06MAT,CT,1,5,bare,2.6,Bare soil
2019,06MAT,F2,1,6,bare,1.8,Bare soil
2019,06MAT,F5,1,3,bare,1.6,Bare soil
2019,06MAT,F5,1,7,bare,0.8,Bare soil
2019,06MAT,F5,3,3,bare,0.7,Bare soil
2019,06MAT,F5,3,5,bare,4.3,Bare soil
2019,06MAT,F5,3,6,bare,0.7,Bare soil
2020,06MAT,F5,1,4,bare,2.6,Bare soil
2008,06MAT,CT,1,1,Bet nan,16.0,Betula nana
2008,06MAT,CT,1,2,Bet nan,12.4,Betula nana
2008,06MAT,CT,1,3,Bet nan,12.2,Betula nana
2008,06MAT,CT,1,4,Bet nan,6.5,Betula nana
2008,06MAT,F2,1,1,Bet nan,1.7,Betula nana
